**** All Elevator Calls (time,src,dest,state,elev dt) stage 4 ****
Elevator call,4.993816266014164,-1,12,3,2, Done, dt, 28.006183733985836
Elevator call,18.77917039169597,-2,-1,3,1, Done, dt, 22.22082960830403
Elevator call,19.387078657155826,0,17,3,2, Done, dt, 48.612921342844174
Elevator call,27.9999732565052,0,9,3,0, Done, dt, 32.0000267434948
Elevator call,38.28582116015673,0,2,3,1, Done, dt, 25.71417883984327
Elevator call,39.19202923931175,0,20,3,3, Done, dt, 2260.8079707606885
Elevator call,39.69710409736126,0,12,3,3, Done, dt, 86.30289590263874
Elevator call,57.40531969890162,0,1,3,1, Done, dt, 29.59468030109838
Elevator call,63.05259875982824,-1,0,3,0, Done, dt, 31.947401240171757
Elevator call,79.37736411739434,0,14,3,1, Done, dt, 38.622635882605664
Elevator call,92.15048695301039,-2,5,3,2, Done, dt, 34.849513046989614
Elevator call,96.61997031673536,-1,8,3,0, Done, dt, 30.380029683264638
Elevator call,111.62708145083661,0,-2,3,0, Done, dt, 45.37291854916339
Elevator call,140.52095248879914,-1,7,3,2, Done, dt, 27.47904751120086
Elevator call,142.07808960138755,-2,0,3,1, Done, dt, 33.921910398612454
Elevator call,147.44392615224183,-1,6,3,3, Done, dt, 40.55607384775817
Elevator call,170.15712188664338,-1,11,3,0, Done, dt, 33.84287811335662
Elevator call,177.9146689591314,0,3,3,1, Done, dt, 13.085331040868596
Elevator call,179.41211574761928,0,13,3,1, Done, dt, 42.58788425238072
Elevator call,188.69360223337299,-1,-2,3,2, Done, dt, 25.306397766627015
Elevator call,197.44243298068636,-2,15,3,3, Done, dt, 45.55756701931364
Elevator call,209.35081553255895,4,0,3,0, Done, dt, 31.649184467441046
Elevator call,209.97850155767696,0,11,3,0, Done, dt, 53.021498442323036
Elevator call,210.90630526255882,4,0,3,1, Done, dt, 88.09369473744118
Elevator call,211.32931870336074,0,18,3,2, Done, dt, 44.67068129663926
Elevator call,218.07434462591186,18,19,3,3, Done, dt, 48.92565537408814
Elevator call,220.76873550670848,16,0,3,1, Done, dt, 78.23126449329152
Elevator call,224.31198381778677,-1,-2,3,2, Done, dt, 51.68801618221323
Elevator call,249.47153929844012,-1,0,3,1, Done, dt, 49.52846070155988
Elevator call,255.11453151297678,-1,0,3,1, Done, dt, 43.88546848702322
Elevator call,257.29849213037915,0,-2,3,2, Done, dt, 40.701507869620855
Elevator call,260.38349181826743,-2,12,3,1, Done, dt, 59.61650818173257
Elevator call,266.894697015759,6,-1,3,0, Done, dt, 32.10530298424101
Elevator call,270.3465008526289,0,-1,3,0, Done, dt, 50.65349914737112
Elevator call,272.4308393782785,-2,6,3,3, Done, dt, 49.569160621721494
Elevator call,303.5884504315734,0,5,3,1, Done, dt, 48.41154956842661
Elevator call,310.43660083151826,10,-1,3,2, Done, dt, 32.56339916848174
Elevator call,318.63880157220933,-1,6,3,0, Done, dt, 20.36119842779067
Elevator call,334.8964002994919,-1,17,3,3, Done, dt, 45.103599700508084
Elevator call,338.34551095760867,-2,9,3,0, Done, dt, 39.65448904239133
Elevator call,361.645498123866,-1,11,3,0, Done, dt, 59.35450187613401
Elevator call,381.31971563530055,-2,18,3,1, Done, dt, 39.680284364699446
Elevator call,388.51503029731634,0,16,3,2, Done, dt, 40.48496970268366
Elevator call,394.25877451521023,0,-1,3,3, Done, dt, 39.741225484789766
Elevator call,396.01053237831434,-1,7,3,0, Done, dt, 65.98946762168566
Elevator call,396.1162807679582,0,8,3,1, Done, dt, 62.88371923204181
Elevator call,397.828560875153,9,18,3,2, Done, dt, 42.171439124846984
Elevator call,400.2358983059046,-1,3,3,0, Done, dt, 95.76410169409542
Elevator call,403.08087087207764,-1,20,3,0, Done, dt, 119.91912912792236
Elevator call,420.90267429546566,0,19,3,3, Done, dt, 54.09732570453434
Elevator call,424.97730311249506,4,0,3,3, Done, dt, 79.02269688750494
Elevator call,431.638137321645,-1,17,3,3, Done, dt, 99.36186267835501
Elevator call,442.48024316783403,10,18,3,2, Done, dt, 28.519756832165967
Elevator call,448.37219431241874,-2,17,3,0, Done, dt, 87.62780568758126
Elevator call,458.57493472839155,0,9,3,1, Done, dt, 46.425065271608446
Elevator call,467.1243025576689,-2,20,3,1, Done, dt, 55.8756974423311
Elevator call,471.18462320429603,-2,11,3,2, Done, dt, 37.81537679570397
Elevator call,507.896243493429,0,19,3,3, Done, dt, 80.10375650657102
Elevator call,508.3883648726937,-1,20,3,2, Done, dt, 37.61163512730627
Elevator call,524.1069739806394,1,15,3,1, Done, dt, 43.893026019360605
Elevator call,530.1742255496574,0,4,3,2, Done, dt, 48.82577445034258
Elevator call,556.8993874391524,0,7,3,0, Done, dt, 45.100612560847594
Elevator call,557.5557041789998,0,4,3,3, Done, dt, 55.444295821000196
Elevator call,562.5015578609957,0,20,3,2, Done, dt, 34.49844213900428
Elevator call,573.8367444751809,0,-2,3,1, Done, dt, 32.16325552481908
Elevator call,579.4289603377472,0,-2,3,1, Done, dt, 26.571039662252815
Elevator call,582.4748234204005,0,2,3,0, Done, dt, 48.525176579599474
Elevator call,587.5065401456161,0,15,3,0, Done, dt, 66.4934598543839
Elevator call,590.6208993932232,-1,2,3,1, Done, dt, 76.37910060677677
Elevator call,593.1685913886549,-2,18,3,1, Done, dt, 94.83140861134507
Elevator call,620.2579900542485,2,13,3,3, Done, dt, 33.74200994575153
Elevator call,623.6992665911678,0,10,3,2, Done, dt, 35.30073340883223
Elevator call,627.5033706858799,-2,0,3,1, Done, dt, 13.496629314120128
